the,ðə
leave,liv
sand,sænd
stain,steɪn
dried,draɪd
without,wɪð aʊt
pearl,pɜrl
fruit,frut
hat,hæt
too,tu
tried,traɪd
pie,paɪ
always,ɔl weɪz
barn,bɑrn
cloud,klaʊd
quite,kwaɪt
boat,boʊt
stop,stɒp
gives,gɪvz
pipe,paɪp
open,oʊ pən
glass,glɑs
crawled,krɔld
move,muv
tree,tri
turn,tɜrn
quick,kwɪk
blow,bloʊ
burn,bɜrn
carpet,kɑr pɪt
found,faʊnd
find,faɪnd
done,dʌn
contents,kɒn tɛnts
seen,sin
shore,ʃɔr
times,taɪmz
free,fri
port,pɔrt
pure,pyʊər
spot,spɒt
front,frʌnt
shirt,ʃɜrt
burned,bɜrnd
empty,ɛmp ti
tin,tɪn
drop,drɒp
an,ən
win,wɪn
office,ɔ fɪs
sad,sæd
tan,tæn
dirt,dɜrt
almost,ɔl moʊst
sky,skaɪ
tales,teɪlz
waste,weɪst
tired,taɪərd
put,pʊt
flood,flʌd
carved,kɑrvd
head,hɛd
has,hæz
where,wɛər
pail,peɪl
laugh,lɑf
soap,soʊp
went,wɛnt
wrote,roʊt
wooden,wʊd ən
covered,kʌv ərd
may,meɪ
lead,lid
drink,drɪŋk
lamp,læmp
shone,ʃoʊn
then,ðɛn
jerk,dʒɜrk
rings,rɪŋz
sat,sæt
jump,dʒʌmp
need,nid
built,bɪlt
north,nɔrθ
brought,brɔt
one,wʌn
room,rum
beef,bif
stew,styu
food,fud
cord,kɔrd
drive,draɪv
odor,oʊ dər
screen,skrin
tender,tɛn dər
hands,hændz
watch,wɒtʃ
if,ɪf
finish,fɪn ɪʃ
space,speɪs
plans,plænz
keep,kip
neat,nit
bowl,boʊl
line,laɪn
beach,bitʃ
lines,laɪnz
sent,sɛnt
children,tʃɪl drən
fit,fɪt
poor,pʊər
long,lɔŋ
crack,kræk
any,ɛn i
five,faɪv
base,beɪs
chart,tʃɑrt
heavy,hɛv i
lawn,lɔn
say,seɪ
straw,strɔ
shoe,ʃu
knife,naɪf
few,fyu
cover,kʌv ər
wet,wɛt
cause,kɔz
comes,kʌmz
birch,bɜrtʃ
slid,slaɪd
smooth,smuð
glue,glu
it's,ɪts
easy,i zi
chicken,tʃɪk ən
dish,dɪʃ
rice,raɪs
juice,dʒus
punch,pʌntʃ
chopped,tʃɒpt
four,fɔr
hours,hauərz
sell,sɛl
source,sɔrs
river,rɪv ər
smoky,smoʊ ki
cushion,kʊʃ ən
sea,si
sold,soʊld
pup,pʌp
twisted,twɪst ɪd
turned,tɜrnd
bent,bɛnt
press,prɛs
pants,pænts
sew,soʊ
button,bʌt n
vest,vɛst
beauty,byu ti
tank,tæŋk
useless,yus lɪs
colt,koʊlt
threw,θru
rider,raɪ dər
hoist,hɔɪst
winding,waɪn dɪŋ
path,pɑθ
reach,ritʃ
lake,leɪk
dirty,dɜr ti
go,goʊ
limp,lɪmp
birth,bɜrθ
rang,ræŋ
apart,ə pɑrt
cool,kul
rope,roʊp
books,bʊks
friendly,frɛnd li
inside,ɪn'saɪd
crooked,krʊk ɪd
making,meɪ kɪŋ
boards,bɔrdz
soldiers,soʊl dʒərz
past,pɑst
sugar,ʃʊg ər
fudge,fʌdʒ
place,pleɪs
porch,pɔrtʃ
storm,stɔrm
talked,tɔkt
draft,drɑft
half,hɑf
field,fild
snow,snoʊ
crash,kræʃ
yacht,yɒt
point,pɔɪnt
met,mɛt
page,peɪdʒ
seized,sizd
fight,faɪt
horn,hɔrn
sleeping,sli pɪŋ
firm,fɜrm
silver,sɪl vər
force,fɔrs
scared,skɛərd
lawyer,lɔ yər
lose,luz
post,poʊst
parts,parts
rich,rɪtʃ
costs,kɔsts
eggs,ɛgz
play,pleɪ
seems,simz
late,leɪt
june,dʒun
year,yɪər
costly,kɔst li
pins,pɪnz
bill,bɪl
cats,kæts
other,ʌð ər
began,bɪ gæn
crate,kreɪt
break,breɪk
sum,sʌm
age,eɪdʒ
orders,ɔrd ərz
pine,paɪn
yellow,yɛl oʊ
waved,weɪvd
log,lɔg
after,æf tər
logs,lɔgz
ordered,ɔr dərd
score,skɔr
things,θɪŋz
got,gɒt
cracked,krækt
spilled,spɪld
word,wɜrd
caught,kɔt
rusty,rʌs ti
trap,træp
weak,wik
swim,swɪm
phrase,freɪz
thirty,θɜr ti
eyes,aɪz
wise,waɪz
friend,frɛnd
wine,waɪn
jumped,dʒʌmpt
gate,geɪt
curls,kɜrlz
graceful,greɪs fəl
mud,mʌd
tray,treɪ
couch,kaʊtʃ
stories,stɔr iz
coin,kɔɪn
weight,weɪt
jacket,dʒæk ɪt
blocks,blɒks
skill,skɪl
soak,soʊk
steam,stim
valve,vælv
sunday,sʌn deɪ
pills,pɪlz
fired,faɪd
felt,fɛlt
gay,geɪ
miles,maɪlz
inches,ɪntʃ ɪz
block,blɒk
apple,æp əl
compass,kʌm pəs
float,floʊt
fresh,frɛʃ
such,sʌtʃ
even,i vən
cement,sɪ mɛnt
loss,lɔs
second,sɛk ənd
stick,stɪk
forget,fər gɛt
main,meɪn
grace,greɪs
shaky,ʃeɪ ki
fans,fænz
music,myu zɪk
try,traɪ
floated,floʊt ɪd
nothing,nʌθ ɪŋ
brand,brænd
soon,sun
funds,fʌndz
tuesday,tuz deɪ
looked,lʊkt
held,hɛld
freeze,friz
gets,gɛts
curtain,kɜr tn
middle,mɪd l
prince,prɪns
clay,kleɪ
others,ʌð ərz
pears,pɛərz
sure,ʃʊər
enough,ɪ nʌf
gray,greɪ
stretched,strɛtʃt
tasty,teɪ sti
bound,baʊnd
nine,naɪn
dig,dɪg
ruins,ru ɪnz
shelves,ʃɛlvz
bare,bɛər
crackers,kræk ərz
shape,ʃeɪp
gently,dʒɛnt li
fits,fɪts
only,oʊn li
pierced,pɪərst
grew,gru
want,wɒnt
gone,gɔn
beer,bɪər
brew,bru
plant,plænt
tube,tub
flat,flæt
join,dʒɔɪn
cannot,kæn ɒt
six,sɪks
rise,raɪz
person,pɜr sən
luck,lʌk
care,kɛər
screw,skru
cap,kæp
years,yɪərz
plan,plæn
fill,fɪl
jar,dʒɑr
sticky,stɪk i
smoke,smoʊk
grain,greɪn
against,ə gɛnst
edges,ɛdʒ ɪz
news,nyuz
hear,hɪər
lathe,leɪð
pole,poʊl
let,lɛt
tack,tæk
must,mʌst
plate,pleɪt
stream,strim
away,ə weɪ
distance,dɪs təns
plead,plid
sheep,ʃip
lot,lɒt
painted,peɪn tɪd
fair,fɛər
fur,fɜr
goes,goʊz
names,neɪmz
silk,sɪlk
dress,drɛs
means,minz
list,lɪst
stones,stoʊnz
drip,drɪp
rain,reɪn
pleasant,plɛz ənt
rum,rʌm
story,stɔr i
sense,sɛns
cuts,kʌts
dense,dɛns
crowd,kraʊd
ways,weɪz
player,pleɪ ər
stale,steɪl
raise,reɪz
cents,sɛnts
peas,piz
grow,groʊ
led,lɛd
wake,weɪk
doubt,daʊt
fasten,fæs ən
dip,dɪp
health,hɛlθ
zest,zɛst
steel,stil
slipped,slɪpt
rug,rʌg
nose,noʊz
coins,kɔɪnz
pay,peɪ
debt,dɛt
cart,kɑrt
my,maɪ
glasses,glas ɪz
phone,foʊn
which,wɪtʃ
bills,bɪlz
month,mʌnθ
pressed,prɛst
life,laɪf
kite,kaɪt
money,mʌn i
hatch,hætʃ
send,sɛnd
bag,bæg
wild,waɪld
ground,graʊnd
sleep,slip
mat,mæt
earth,ɜrθ
weather,wɛð ər
chance,tʃæns
shake,ʃeɪk
shoes,ʃuz
stranger,streɪn dʒər
smile,smaɪl
tent,tɛnt
foot,fʊt
fail,feɪl
sandy,sæn di
stiff,stɪf
thing,θɪŋ
name,neɪm
farmer,fɑr mər
board,bɔrd
mule,myul
step,stɛp
nail,neɪl
school,skul
fund,fʌnd
again,ə gɛn
quickly,kwɪk li
pile,paɪl
settle,sɛt l
worse,wɜrs
blows,bloʊz
strike,straɪk
please,pliz
canoe,kə nu
planks,plæŋks
background,bæk graʊnd
depth,dɛpθ
leg,lɛg
bowls,boʊlz
lemons,lɛm ənz
thrown,θroʊn
parked,pɑrkt
truck,trʌk
hogs,hɔgz
fed,fɛd
garbage,gɑr bɪdʒ
faced,feɪst
stockings,stɒk ɪŋz
rod,rɒd
salmon,sæm ən
huge,hyudʒ
kick,kɪk
ball,bɔl
follow,fɒl oʊ
woman,wʊm ən
helps,hɛlps
pass,pæs
evening,iv nɪŋ
fires,faɪərz
man's,mænz
booth,buθ
fifty,fɪf ti
bonds,bondz
gnawed,nɔd
sock,sɒk
hook,hʊk
dive,daɪv
perfect,pɜr fɪkt
view,vyu
stunned,stʌnd
swam,swæm
purse,pɜrs
trash,træʃ
reared,rɪərd
snowed,snoʊd
rained,reɪnd
hailed,heɪld
verse,vɜrs
pleasure,plɛʒ ər
load,loʊd
shoulder,ʃoʊl dər
closely,cloʊs li
gas,gæs
wipe,waɪp
grease,gris
face,feɪs
mend,mɛnd
wrist,rɪst
badly,bæd li
strained,streɪnd
stray,streɪ
kittens,kɪt nz
response,rɪ spɒns
meal,mil
cooked,kʊkt
living,lɪv ɪŋ
king,kɪŋ
ruled,ruld
state,steɪt
reef,rif
sickness,sɪk nɪs
shimmered,ʃɪm ərd
lazy,leɪ zi
cow,kaʊ
lift,lɪft
bind,baɪnd
hop,hɒp
plunge,plʌndʒ
gang,gæŋ
drug,drʌg
mesh,mɛʃ
wire,waɪ
keeps,kips
chicks,tʃɪks
frosty,frɔ sti
passed,pæst
maze,meɪz
fool,ful
adding,ædɪŋ
leads,lidz
wrong,rɔŋ
sums,sʌmz
flop,flɒp
very,vɛr i
tool,tul
wagon,wæg ən
oiled,ɔɪld
wheels,wilz
hill,hɪl
rosebush,roʊz bʊʃ
steps,stɛps
lives,laɪvz
raging,reɪdʒ ɪŋ
circus,sɜr kəs
use,yuz
hardware,hɑrd wɛər
period,pɪər i əd
creek,krik
cars,kɑrz
busses,bʌs ɪz
stalled,stɔld
hit,hɪt
grand,grænd
season,si zən
hikes,haɪks
dune,dun
cue,kyu
actor,æk tər
bay,beɪ
playing,pleɪ ɪŋ
finished,fɪn ɪʃt
walled,wɔld
lease,lis
sixteen,sɪks tin
weeks,wiks
tame,teɪm
squirrel,skwɜr əl
nice,naɪs
pet,pɛt
car,kɑr
woke,woʊk
cop,kɒp
heart,hɑrt
strongly,strɔŋ li
strokes,stroʊk
peel,pil
slices,slaɪs ɪz
navy,neɪ vi
attacked,ə tækt
task,tæsk
glaring,glɛər ɪŋ
factors,fæk tərz
brim,brɪm
droopy,dru pi
curled,kɜrld
strive,straɪv
seldom,sɛl dəm
close,cloʊz
prone,proʊn
hardly,hɑrd li
limb,lɪm
slush,slʌʃ
wisp,wɪsp
pound,paʊnd
fin,fɪn
stupid,stu pɪd
bail,beɪl
sinking,sɪŋk ɪŋ
term,tɜrm
ended,ɛnd ɪd
tusk,tʌsk
gifts,gɪfts
order,ɔr dər
paid,peɪd
oak,oʊk
also,ɔl soʊ
shade,ʃeɪd
dogs,dɔgz
hate,heɪt
rust,rʌst
product,prɒd əkt
thieves,θifs
rob,rɒb
deserve,dɪ zɜrv
jail,dʒeɪl
cheese,tʃiz
improves,ɪm pruvz
speed,spid
hog,hɔg
vat,væt
bark,bɑrk
shiny,ʃaɪ ni
pennant,pɛn ənt
blew,blu
split,splɪt
peat,pit
give,gɪv
peach,pitʃ
cream,krim
weave,wiv
hand,hænd
hemp,hɛmp
weed,wid
tropics,trɒp ɪks
lame,leɪm
simplest,sɪm pəl
type,taɪp
lists,lɪsts
harder,hɑrd
boss,bɔs
watchful,wɒtʃ fəl
eye,aɪ
paste,peɪst
cleanse,klɛnz
slang,slæŋ
raw,rɔ
whiskey,wɪs ki
booze,buz
hind,haɪnd
paw,pɔ
wharf,wɔrf
farther,fɑr ðər
feel,fil
dying,daɪ ɪŋ
tiny,taɪ ni
cramp,kræmp
danger,deɪn dʒər
said,sɛd
pluck,plʌk
plus,plʌs
glow,gloʊ
deepened,di pənd
problems,prɒb ləmz
chief,tʃif
fond,fɒnd
cherish,tʃɛr ɪʃ
lodging,lɒdʒ ɪŋ
frown,fraʊn
events,ɪ vɛnts
kid,kɪd
guess,gɛs
result,rɪ zʌlt
scores,skɔrz
pickle,pɪk əl
tastes,teɪsts
ham,hæm
claim,kleɪm
verdict,vɜr dɪkt
thistles,θɪs təlz
bend,bɛnd
bred,brɛd
poodles,pu dəlz
blotter,blɒt ər
spattered,spæt ərd
cigar,sɪ gɑr
flask,flæsk
speedy,spi di
track,træk
shoelace,ʃu leɪs
coffee,kɔ fi
stand,stænd
urge,ɜrdʒ
pencils,pɛn səlz
been,bɪn
pirates,paɪ rəts
crew,kru
replace,rɪ pleɪs
sewed,soʊd
neatly,nit
sofa,soʊ fə
level,lɛv əl
figures,fɪg yərz
filing,faɪl ɪŋ
buy,baɪ
abrupt,ə brʌpt
does,doʊz
prize,praɪz
toys,tɔɪz
knew,nu
actress,æk trɪs
rag,ræg
shower,ʃaʊ ər
pipes,paɪps
hissed,hɪst
broken,broʊ kən
hurt,hɜrt
outside,aʊt said
scraps,skræps
littered,lɪt ərd
doctor,dɒk tər
cured,kyʊərd
today,tə deɪ
noon,nun
arrived,ə raɪvd
store's,stɔrz
account,ə kaʊnt
cent,sɛnt
acid,æs ɪd
burns,bɜrnz
holes,hoʊlz
wool,wʊl
fairy,fɛər i
eight,eɪt
woodland,wʊd lænd
players,pleɪ ərz
suffer,sʌf ər
fright,fraɪt
column,kɒl əm
admire,æd maɪ
love,lʌv
cook,kʊk
marble,mɑr bəl
smart,smɑrt
wearing,wɛər ɪŋ
fig,fɪg
shaped,ʃeɪpt
cobs,kɒbz
kindle,kɪn dl
noise,nɔɪz
started,stɑrt ɪd
thumb,θʌm
tacks,tæks
gift,gɪft
buyer,baɪ ər
gain,geɪn
tongs,tɔŋz
petals,pɛ təlz
puff,pʌf
class,klæs
although,ɔl ðoʊ
farmers,fɑr mərz
thresh,θrɛʃ
oat,oʊt
crop,krɒp
attic,æt ɪk
lure,lʊər
trout,traʊt
flounder,flaʊn dər
bath,bæθ
crane,kreɪn
wading,weɪd ɪŋ
bird,bɜrd
wonders,wʌn dərz
club,klʌb
rented,rɛnt ɪd
rink,rɪŋk
fifth,fɪfθ
dance,dæns
hostess,hoʊ stɪs
taught,tɔt
maid,meɪd
novel,nɒv əl
inn,ɪn
worst,wɜrst
live,lɪv
wires,waɪz
taps,tæps
erase,ɪ reɪs
doorknob,dɔr nɒb
wreck,rɛk
occurred,ə kɜrd
writes,raɪts
coax,koʊks
calf,kæf
bucket,bʌk ɪt
schools,skulz
ladies,leɪ diz
teach,titʃ
charm,tʃɑrm
axe,æks
forest,fɔr ɪst
ancient,eɪn ʃənt
jazz,dʒæz
swing,swɪŋ
rake,reɪk
rubbish,rʌb ɪʃ
slash,slæʃ
ribbons,rɪb ənz
court,kɔrt
decide,dɪ saɪd
pushed,pʊʃt
attack,ə tæk
ties,taɪz
groups,grups
former,fɔr mər
raft,ræft
backs,bæks
map,mæp
x,ɛks
meant,mɛnt
whitings,waɪ tɪŋz
nets,nɛts
ads,ædz
cheat,tʃit
buyers,baɪ ərz
weakly,wik li
waxed,wækst
balance,bæl əns
madam,mæd əm
islands,'ai ləndz
mild,maɪld
world,wɜrld
fury,fyʊər i
fry,fraɪ
egg,ɛg
rush,rʌʃ
reached,ritʃt
peak,pik
stark,stɑrk
lonesome,loʊn səm
snapper,snæp ər
worm,wɜrm
snapped,snæpt
hurry,hɜr i
yell,yɛl
clap,klæp
slides,slaɪdz
walk,wɔk
brothers,brʌð ərz
wear,wɛər
houses,haʊzɪz
bricks,brɪks
ducks,dʌks
flavors,fleɪ vərz
fizz,fɪz
drinks,drɪŋks
canned,kænd
flavor,fleɪ vər
closet,klɒz ɪt
carry,kær i
spill,spɪl
train,treɪn
hero,hɪər oʊ
war,wɔr
rude,rud
filled,fɪld
seats,sits
football,fʊt bɔl
jug,dʒʌg
dash,dæʃ
pepper,pɛp ər
spoils,spoɪlz
zestful,zɛst fəl
cross,krɔs
bun,bʌn
trotted,trɒt ɪd
brisk,brɪsk
pace,peɪs
twin,twɪn
stole,stoʊl
necklace,nɛk lɪs
binds,baɪndz
tightly,taɪt
tape,teɪp
smuggled,smʌg əld
look,lʊk
drizzle,drɪz əl
halt,hɔlt
bond,bɒnd
hired,haɪd
junk,dʒʌŋk
yard,yɑrd
mouldy,moʊl di
flint,flɪnt
sputtered,spʌt ərd
lit,lɪt
torch,tɔrtʃ
drown,draʊn
jam,dʒæm
frozen,froʊ zən
watched,wɒtʃt
stung,stʌŋ
courage,kɜr ɪdʒ
ridge,rɪdʒ
surface,sɜr fɪs
bump,bʌmp
flaw,flɔ
hedge,hɛdʒ
apples,æp əlz
quench,kwɛntʃ
thirst,θɜrst
eat,it
rainy,reɪ ni
mute,myut
muffled,mʌf əld
tones,toʊnz
ear,ɪər
pan,pæn
node,noʊd
stalk,stɔk
wheat,wit
daily,deɪ li
heap,hip
fallen,fɔ lən
barrel,bær əl
malt,mɔlt
hops,hɒps
cans,kænz
absent,'æb sənt
window,wɪn doʊ
beam,bim
dropped,drɒpt
workman's,wɜrk mənz
clouds,klaʊdz
danced,dænst
blown,bloʊn
tire,taɪ
let's,lɛts
sing,sɪŋ
chorus,kɔr əs
switch,swɪtʃ
minutes,mɪn ɪts
walls,wɔlz
lined,laɪnd
colored,kʌl ərd
frocks,frɒks
peace,pis
league,lig
discuss,dɪ skʌs
fame,feɪm
scarce,skɛərs
so,soʊ
fox,fɒks
nozzle,nɒz əl
hose,hoʊz
brings,brɪŋz
changes,'tʃeɪndʒ ɪz
purple,pɜr pəl
tie,taɪ
think,θɪŋk
sometimes,sʌm taɪmz
mules,myulz
healthy,hɛl θi
records,'rɛk ərdz
crunch,krʌntʃ
copper,kɒp ər
sun's,sʌnz
rays,reɪz
warp,wɔrp
unless,ʌn lɛs
plush,plʌʃ
leaned,lind
clink,klɪŋk
metal,mɛt l
bathe,beɪð
relax,rɪ læks
rows,roʊz
shallow,ʃæl oʊ
tide,taɪd
idea,aɪ di ə
kitten,kɪt n
chased,tʃeɪst
pages,peɪdʒ ɪz
trace,treɪs
painting,peɪn tɪŋ
women,wɪm ɪn
group,grup
zones,zoʊnz
merge,mɜrdʒ
central,sɛn trəl
gem,dʒɛm
rough,rʌf
polish,pɒl ɪʃ
code,koʊd
secrets,si krɪts
objects,'ɒb dʒəkts
vane,veɪn
revolved,rɪ vɒlvd
mince,mɪns
clan,klæn
gathered,gæð ərd
warmth,wɔrmθ
comfort,kʌm fərt
castle,kæs əl
fails,feɪlz
endure,ɛn dʊər
child's,tʃaɪldz
wit,wɪt
saved,seɪvd
strip,strɪp
vote,voʊt
pour,pɔr
penny,pɛn i
woods,wʊdz
gather,gæð ər
sticks,stɪks
piles,paɪlz
tumbled,tʌm bəld
plum,plʌm
king's,kɪŋz
palate,pæl ɪt
hazy,heɪ zi
natives,neɪ tɪvz
capture,kæp tʃər
bear,bɛər
feed,fid
flower,flaʊ ər
seeds,sidz
thaw,θɔ
freed,frid
whole,hoʊl
key,ki
designed,dɪ zaɪnd
lock,lɒk
council,kaʊn səl
thief,θif
hash,hæʃ
plank,plæŋk
walking,wɔ kɪŋ
sparkled,spɑr kəld
ledge,lɛdʒ
tend,tɛnd
wanders,wɒn dərz
sign,saɪn
shares,ʃɛərz
profit,prɒf ɪt
winds,wɪndz
colds,koʊldz
fevers,fi vərz
asks,æsks
vouch,vaʊtʃ
later,lɛɪ tər
sash,sæʃ
trim,trɪm
wash,wɒʃ
game,geɪm
items,'aɪ təmz
siege,sidʒ
defense,dɪ fɛns
grape,greɪp
mix,mɪks
roads,roʊdz
paved,peɪvd
tar,tɑr
fake,feɪk
shine,ʃaɪn
cost,kɔst
poured,pɔrd
heroes,hɪər oʊz
eastern,i stərn
heave,hiv
trims,trɪmz
distinct,dɪ stɪŋkt
hip,hɪp
knee,ni
lingers,lɪŋ gərz
scarcer,skɛərs
lamb,læm
sail,seɪl
steer,stɪər
northward,nɔrθ wərd
cone,koʊn
mondays,mʌn deɪz
pod,pɒd
dart,dɑrt
cork,kɔrk
target,tɑr gɪt
shipping,ʃɪp ɪŋ
dime,daɪm
peddler,pɛd lər
cried,kraɪd
touch,tʌtʃ
hardship,hɑrd ʃɪp
seemed,simd
nudge,nʌdʒ
restless,rɛst lɪs
minds,maɪndz
chink,tʃɪŋk
allowed,ə laʊd
restores,rɪ stɔrz
oath,oʊθ
sills,sɪlz
pen,pɛn
lag,læg
thought,θɔt
seed,sid
draw,drɔ
owed,oʊd
pal,pæl
chap,tʃæp
hats,hæts
dinner,dɪn ər
ramp,ræmp
highway,haɪ weɪ
onto,ɒn tu
slowly,sloʊ li
nest,nɛst
housed,haʊst
robins,rɒb ɪnz
woven,woʊ vən
mats,mæts
wax,wæks
protects,prə tɛkts
scratch,skrætʃ
picked,pɪkt
dice,daɪs
roll,roʊl
nag,næg
pulled,pʊld
frail,freɪl
twist,twɪst
release,rɪ lis
vamp,væmp
buckle,bʌk əl
rags,rægz
itches,ɪtʃ ɪz
cuffs,kʌfs
pockets,pɒk ɪts
marsh,mɑrʃ
slice,slaɪs
sausage,sɔ sɪdʒ
bloom,blum
lasts,læsts
mare,mɛər
walked,wɔkt
breakfast,brɛk fəst
buns,bʌnz
bottles,bɒt lz
kinds,kaɪndz
wore,wɔr
feather,fɛð ər
wheeled,wild
bike,baɪk
ashes,æʃɪz
chairs,tʃɛərz
throw,θroʊ
neck,nɛk
collar,kɒl ər
hall,hɔl
drapes,dreips
stems,stɛmz
rack,ræk
lantern,læn tərn
cleat,klit
sank,sæŋk
deeply,dip li
turf,tɜrf
mailed,meɪld
promptly,prɒmpt li
tenth,tɛnθ
wait,weɪt
hope,hoʊp
price,praɪs
antique,æn tik
played,pleɪd
dispense,dɪ spɛns
bunch,bʌntʃ
grapes,greips
figs,fɪgz
cherries,tʃɛr iz
hinge,hɪndʒ
creaked,krikt
sparks,spɑrks
helped,hɛlpt
print,prɪnt
death,dɛθ
marks,mɑrks
limits,lɪm ɪts
bottom,bɒt əm
flew,flu
wildly,waɪld
muff,mʌf
stylish,staɪ lɪʃ
priceless,praɪs lɪs
matter,mæt ər
puzzling,pʌz lɪŋ
lanterns,læn tərnz
youth,yuθ
drove,droʊv
lived,lɪvd
shaggy,ʃæg i
save,seɪv
spend,spɛnd
shut,ʃʌt
waves,weɪvz
push,pʊʃ
hearts,harts
walnut,wɔl nʌt
teeth,tiθ
offered,ɔ fərd
proof,pruf
stuff,stʌf
quart,kwɔrt
milk,mɪlk
told,toʊld
frighten,fraɪt n
rear,rɪər
passage,pæs ɪdʒ
sweater,swɛt ər
oats,oʊts
eaten,it n
eyelids,aɪ lɪdz
droop,drup
sip,sɪp
revives,rɪ vaɪvz
tuck,tʌk
equal,i kwəl
would,wʊd
tailor,teɪ lər
doll,dɒl
kind,kaɪnd
sick,sɪk
people,pi pəl
packed,pækt
shipped,ʃɪpt
dusty,dʌs ti
bench,bɛntʃ
suit,sut
nasty,næs ti
shelter,ʃɛl tər
still,stɪl
guy,gaɪ
writer,raɪ tər
banned,bænd
false,fɔls
barred,bɑrd
locked,lɒkt
bolted,boʊlt ɪd
queen's,kwinz
table,teɪ bəl
